Date,GCell Group,Integrity,K3014:Traffic Volume on TCH(Erl),PS DL Traffic (GB),PS UL Traffic (GB),Call_Setup_Success_Rate_Portal(%),MSC Assignment Attempt Rate(%),DCR_Portal_new(%),SDCCH Drop Rate_Portal(%),Handover Success Rate _Portal_new(%),Incoming_HSR(%),Incoming Inter RAT HO Success Rate,SDCCH Blocking_Portal(%),TCH_congestion_Portal(%),"Interference%_Band(3,4,5)",AM_Location_Update_SR(%),TBF SR(%),Immediate assign success rate(%),VAMOS traffic(Erl),RR307:TCH Availability%,2G Availability(%)
9/12/2023,Remote Aseer,45181Remote Aseer,7076.26,23.6588,17.5842,98.9997,106.7115,1.1696,0.8101,93.696,98.4819,96.3994,0.4588,0,3.6279,97.345,97.0528,97.4123,64.99,98.5612,98.5466
9/12/2023,Remote Jizan,45181Remote Jizan,15482.5,26.9526,16.9075,99.1161,111.6161,0.849,0.3472,94.6455,94.8894,95.3301,0.3657,0.3283,1.7858,98.7343,92.8686,97.8886,534.46,96.921,97.0196
9/12/2023,Remote Najran,45181Remote Najran,3791.93,20.3962,11.0278,99.5337,109.25,0.815,0.375,94.3742,93.3758,97.2868,0.0892,0,1.1245,98.9422,95.6956,98.2465,16.42,99.3907,99.5383
9/12/2023,E735,45181E735,10818.76,21.1783,13.9813,99.4197,98.6097,0.652,0.3502,96.8863,97.1985,95.6367,0.3416,0.0762,1.4016,97.8517,93.6361,97.7705,283.32,97.6471,97.767
9/12/2023,E771,45181E771,2443.99,10.1593,6.7772,99.4287,96.9742,0.6816,0.4135,98.4211,98.3986,95.9552,0.1052,0,6.2663,96.263,96.5087,96.4677,15.3,98.6398,98.6308
9/12/2023,E770,45181E770,907.2,9.0308,4.5913,99.6957,124.9391,1.1783,0.2421,95.886,95.8467,95.3482,0.0365,0,1.5164,98.8099,98.2187,97.8239,0.25,98.4336,99.058
9/12/2023,E773,45181E773,1038.32,7.5312,6.903,99.1979,101.8226,0.8602,0.6653,76.8865,99.2112,96.9542,1.2136,0,0.6731,97.5569,96.9412,97.8652,0.16,96.8153,97.8117
9/12/2023,E774,45181E774,1853.34,6.6796,4.8235,99.1168,104.8964,1.414,0.7113,98.4795,98.7806,96.0965,0.1874,0,1.5097,98.4436,95.584,98.2944,4.44,99.9562,99.9558
9/12/2023,E775,45181E775,9335.28,15.4079,8.9422,99.0833,115.8427,0.8146,0.3335,94.4466,94.4843,94.94,0.1825,0.3988,2.3067,99.6623,96.0772,98.0869,491.7,97.7144,97.8497
9/12/2023,E776,45181E776,4494.12,17.7805,10.3037,99.6069,99.851,0.4958,0.3139,95.6328,94.7762,97.4858,0.1443,0,1.5744,98.455,95.8222,98.3093,35.09,99.9042,99.8999
9/12/2023,E777,45181E777,3546.12,8.4633,5.536,98.7853,110.6292,0.8915,1.0711,97.8225,98.5982,96.998,0.1517,0,2.4531,97.805,98.0639,97.399,48.71,99.8978,99.8897
9/12/2023,E778,45181E778,2108.89,6.5166,4.7295,99.4513,95.8558,0.5044,0.4228,98.4532,98.495,93.4168,0.01,0,11.2231,97.0497,98.2411,97.3685,78.29,99.6336,99.8099
9/12/2023,E291,45181E291,23630.13,27.4889,18.5971,99.005,102.4483,2.336,0.4184,94.2905,96.5131,97.3495,0.6156,0.3295,0.5693,97.5558,84.4348,97.4569,986.92,96.1908,96.3798
9/12/2023,Southern Remote,45181Southern Remote,26350.68,71.0076,45.5194,99.0913,109.9775,0.9189,0.5327,94.2972,95.879,95.7531,0.3631,0.1924,2.5001,98.2242,95.6907,97.7539,615.87,98.0831,98.2405
9/12/2023,Southern City,45181Southern City,9965.2,30.7171,20.4849,99.613,95.7081,0.3805,0.3035,99.0195,98.9537,93.0982,0.0604,0,5.132,97.3084,97.1093,97.5458,341.4,99.6079,99.7535
9/12/2023,"Cluster=Aseer CL2,Rule Name=Opt Clusters","45181Cluster=Aseer CL2,Rule Name=Opt Clusters",2986.8,9.5933,6.9961,99.1149,95.3604,0.6195,0.7248,98.4484,98.4735,95.7121,0.0183,0,12.9473,96.1962,97.6233,96.5831,80.39,98.954,99.1012
9/12/2023,"Cluster=Aseer CL1,Rule Name=Opt Clusters","45181Cluster=Aseer CL1,Rule Name=Opt Clusters",1606.38,6.4321,4.2072,99.4698,98.5502,0.4708,0.4196,98.4663,98.466,95.8333,0.1107,0,4.6651,96.1048,97.2134,96.2202,6.69,99.5127,99.5434
9/12/2023,"Cluster=Aseer CL3,Rule Name=Opt Clusters","45181Cluster=Aseer CL3,Rule Name=Opt Clusters",2135.75,11.0455,9.2126,99.2572,102.726,0.992,0.6007,88.0649,98.8903,96.3957,0.8686,0,1.7642,97.7594,96.8103,98.0014,7.01,97.8154,98.1046
