Date,UCell Group,Integrity,3G CS Traffic Erl(Erl),3G PS DL GB,3G PS UL GB,VS.HSDPA.UE.Mean.Cell,CS SR (F),PS SR (F),RRC SR(F),CS_DCR.Leo(%),PS Drop(F),IRAT SR(New),HSDPA.User.Throughput Mbps,VS.MeanRTWP(dBm),Avg_CQI_reported,Avg_CQI_Used,VS.MeanTCP(dBm),Success Rate of CS Incoming Inter-RAT Handovers for Cell(%),IRAT HO Outgoing Success Rate CS -speech (%)-NewMob,VS.IRATHO.FailOutCS,VS.U2L.FastReturn.Redirect.CSFBUE,VS.U2L.FastReturn.Redirect.SRVCCUE,VS.U2LHO.FastReturn.AttOutPS.CSFBUE,VS.U2LHO.FastReturn.AttOutPS.SRVCCUE,VS.U2LTEHO.RRCRelease.FastReturn.Blind,VS.U2LTEHO.RRCRelease.Service,EVQI Cell NB,EVQI Cell WB,VQI-3G,VS.OrigCall.EstabMeanTime.AMRWB(ms),VS.OrigCall.EstabMeanTime.AMRNB(ms),VS.Cell.UnavailTime.Sys(s),UMTS Cell Availability %,RRC Cong,CS Cong,PS Cong,CS Drops,PS Drops
9/12/2023,Khamis Mushait,45181Khamis Mushait,5395.04,1358.3563,236.6716,330.6066,99.9958,99.9541,99.8855,0.1575,0.1769,44.4444,3620.9717,-99.6667,23.2341,18.5205,38.2625,98.3653,44.4444,15,178586,3671,0,0,178586,137384,3.1422,3.7572,4.1077,5287,6880,78763,99.7097,0,0,0,298,5054
9/12/2023,Abu Arish,45181Abu Arish,2902.2,596.5043,90.8995,138.9286,99.9987,99.9109,99.7514,0.0758,0.2329,71.7949,3115.3264,-102.9907,22.4257,18.2259,40.3392,99.3641,71.7949,11,122356,1321,0,0,122356,41310,3.1169,3.7449,4.0986,5401,7073,115510,97.8779,0,0,0,91,1832
9/12/2023,Bishah,45181Bishah,1018.02,341.8292,53.4982,98.8935,100,99.9734,99.792,0.1416,0.1023,40,3329.6587,-105.0435,23.0023,17.7056,38.4375,99.682,40,3,30386,534,0,0,30386,30990,3.1612,3.7786,4.1157,5222,6931,80,99.999,0,0,0,44,1208
9/12/2023,Jizan,45181Jizan,4346.09,1119.7282,205.9631,285.5679,99.9989,99.9149,99.8274,0.107,0.2531,59.2593,3034.4323,-104.0265,22.3836,17.2595,39.1622,99.1346,59.2593,11,147009,3923,0,0,147009,122823,3.1349,3.7704,4.1097,5312,6919,70,99.9995,0,0,0,168,4910
9/12/2023,Muhayel,45181Muhayel,1071.12,746.7878,106.3381,126.468,100,99.9095,99.8512,0.2119,0.1576,80,3319.6644,-104.1268,22.5615,18.8084,40.3236,99.2472,80,2,31448,1064,0,0,31448,56029,3.1459,3.785,4.099,5378,6974,31277,99.4753,0,0,0,67,1692
9/12/2023,Najran,45181Najran,6144.35,1856.1878,282.2333,354.43,99.9899,99.9607,99.9384,0.0777,0.0932,35,3277.9617,-104.3889,22.5902,18.2709,40.0466,99.0897,35,13,241844,3943,0,0,241844,76490,3.1332,3.7598,4.1234,5245,6985,11327,99.9471,0,0,0,189,4111
9/12/2023,Sabya,45181Sabya,4615.19,830.3389,118.4486,196.1535,99.9907,99.8918,99.7814,0.1186,0.2264,89.9408,3054.9889,-103.8389,22.3448,18.019,40.8565,99.157,89.9408,17,175453,2646,0,0,175453,61494,3.1095,3.7569,4.0973,5397,6921,21453,99.6775,0,0,0,207,2387
9/12/2023,Southern Region,45181Southern Region,53085.45,24400.0283,3362.2389,4706.0128,99.9848,99.8418,99.6978,0.1894,0.303,95.8385,3352.7768,-103.8803,22.9362,18.2261,39.7115,98.8653,95.8077,5489,1847878,48800,0,0,1847878,2418441,3.1296,3.7637,4.0867,5451,7015,2579423,98.8697,9333,290,4278,3876,88017
9/12/2023,USF8,45181USF8,8662.74,9505.9384,1401.1524,1739.0009,99.9416,99.6594,99.7301,0.5229,0.4754,97.8054,3013.1847,-105.938,23.2046,18.8363,39.3925,99.4934,97.7544,1466,128686,8986,0,0,128686,229008,3.0858,3.6933,4.0909,5109,7261,2705474,96.5813,204,0,154,1226,26093
9/12/2023,Remote Najran,45181Remote Najran,2880.07,2880.7642,363.1279,429.2758,99.9883,99.9255,99.8763,0.3002,0.2716,97.8881,3786.5502,-105.554,23.8215,18.818,39.895,98.3837,97.8814,309,86873,4270,0,0,86873,301683,3.1333,3.7691,4.0615,5397,7027,70138,99.739,0,0,0,329,7587
