Sector ,lat,long,azimuth,Cluster
S1719_0,16.83113,42.95577,10,Remote Jizan
S1719_1,16.83113,42.95577,120,Remote Jizan
S1719_2,16.83113,42.95577,270,Remote Jizan
S1720_0,16.69511,43.01905,40,Remote Jizan
S1720_1,16.69511,43.01905,160,Remote Jizan
S1720_2,16.69511,43.01905,270,Remote Jizan
S1721_0,16.51835,42.80382,50,Remote Jizan
S1721_1,16.51835,42.80382,150,Remote Jizan
S1721_2,16.51835,42.80382,270,Remote Jizan
S1722_0,17.90592,43.23371,50,Remote Aseer
S1722_1,17.90592,43.23371,150,Remote Aseer
S1722_2,17.90592,43.23371,320,Remote Aseer
S1723_0,18.05081,42.95824,350,Remote Najran
S1723_1,18.05081,42.95824,100,Remote Najran
S1723_2,18.05081,42.95824,230,Remote Najran
S1724_0,17.37985,42.48331,0,Remote Jizan
S1724_1,17.37985,42.48331,140,Remote Jizan
S1724_2,17.37985,42.48331,240,Remote Jizan
S1725_0,18.94852,41.91371,125,Remote Aseer
S1725_1,18.94852,41.91371,260,Remote Aseer
S1725_2,18.94852,41.91371,320,Remote Aseer
S1726_0,18.08603,42.708284,50,Remote Aseer
S1726_1,18.08603,42.708284,200,Remote Aseer
S1726_2,18.08603,42.708284,300,Remote Aseer
S1727_0,18.093552,42.719592,0,Remote Aseer
S1727_1,18.093552,42.719592,130,Remote Aseer
S1727_2,18.093552,42.719592,220,Remote Aseer
S1728_0,18.079421,42.737834,20,Remote Aseer
S1728_1,18.079421,42.737834,120,Remote Aseer
S1728_2,18.079421,42.737834,240,Remote Aseer
S1730_0,16.94832,42.562961,0,Jizan
S1730_1,16.94832,42.562961,170,Jizan
S1730_2,16.94832,42.562961,240,Jizan
S1731_0,18.332161,42.751079,0,Khamis Mushait
S1731_1,18.332161,42.751079,120,Khamis Mushait
S1731_2,18.332161,42.751079,220,Khamis Mushait
S1732_0,19.142643,42.11498,60,Remote Aseer
S1732_1,19.142643,42.11498,150,Remote Aseer
S1732_2,19.142643,42.11498,300,Remote Aseer
S1733_0,18.20588,42.50729,60,Abha
S1733_1,18.20588,42.50729,150,Abha
S1733_2,18.20588,42.50729,300,Abha
S1734_0,17.42705,43.18235,0,Remote Jizan
S1734_1,17.42705,43.18235,160,Remote Jizan
S1734_2,17.42705,43.18235,280,Remote Jizan
S1735_0,17.477212,44.173983,30,Najran
S1735_1,17.477212,44.173983,200,Najran
S1735_2,17.477212,44.173983,300,Najran
S1736_0,17.564,44.3134,60,Najran
S1736_1,17.564,44.3134,210,Najran
S1736_2,17.564,44.3134,310,Najran
S1737_0,18.228803,42.599878,20,Abha
S1737_1,18.228803,42.599878,130,Abha
S1737_2,18.228803,42.599878,200,Abha
S1738_0,17.56198,44.37613,40,Najran
S1738_1,17.56198,44.37613,180,Najran
S1738_2,17.56198,44.37613,280,Najran
S1739_0,18.24267,42.52101,90,Abha
S1739_1,18.24267,42.52101,180,Abha
S1739_2,18.24267,42.52101,270,Abha
S1740_0,18.312366,42.597646,20,Remote Aseer
S1740_1,18.312366,42.597646,130,Remote Aseer
S1740_2,18.312366,42.597646,210,Remote Aseer
S1741_0,17.156013,42.640956,150,Sabya
S1741_1,17.156013,42.640956,270,Sabya
S1741_2,17.156013,42.640956,20,Sabya
S1743_0,18.93744,42.171445,100,Remote Aseer
S1743_1,18.93744,42.171445,200,Remote Aseer
S1743_2,18.93744,42.171445,340,Remote Aseer
S1744_0,17.53771,44.22755,20,Najran
S1744_1,17.53771,44.22755,140,Najran
S1744_2,17.53771,44.22755,270,Najran
S1745_0,17.55495,44.21653,80,Najran
S1745_1,17.55495,44.21653,210,Najran
S1745_2,17.55495,44.21653,315,Najran
S1746_0,18.20843,42.53521,20,Abha
S1746_1,18.20843,42.53521,150,Abha
S1746_2,18.20843,42.53521,250,Abha
S1748_0,18.55647,42.04469,140,Muhayel
S1748_1,18.55647,42.04469,230,Muhayel
S1748_2,18.55647,42.04469,320,Muhayel
S1749_0,18.5186,42.081,60,Muhayel
S1749_1,18.5186,42.081,180,Muhayel
S1749_2,18.5186,42.081,300,Muhayel
