Date,Time,UCell Group,Integrity,3G CS Traffic Erl(Erl),3G PS DL GB,3G PS UL GB,VS.HSDPA.UE.Mean.Cell,CS SR (F),PS SR (F),RRC SR(F),CS_DCR.Leo(%),PS Drop(F),IRAT SR(New),HSDPA.User.Throughput Mbps,VS.MeanRTWP(dBm),Avg_CQI_reported,Avg_CQI_Used,VS.MeanTCP(dBm),Success Rate of CS Incoming Inter-RAT Handovers for Cell(%),IRAT HO Outgoing Success Rate CS -speech (%)-NewMob,VS.IRATHO.FailOutCS,VS.U2L.FastReturn.Redirect.CSFBUE,VS.U2L.FastReturn.Redirect.SRVCCUE,VS.U2LHO.FastReturn.AttOutPS.CSFBUE,VS.U2LHO.FastReturn.AttOutPS.SRVCCUE,VS.U2LTEHO.RRCRelease.FastReturn.Blind,VS.U2LTEHO.RRCRelease.Service,EVQI Cell NB,EVQI Cell WB,VQI-3G,VS.OrigCall.EstabMeanTime.AMRWB(ms),VS.OrigCall.EstabMeanTime.AMRNB(ms),VS.Cell.UnavailTime.Sys(s),UMTS Cell Availability %
2023-11-14,02:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,33.14,93.4501,10.9884,367.819,99.6491,99.8574,98.5735,2.6442,0.2454,100,4326.3386,-105.9341,24.3207,18.8131,38.7357,97.6744,100,0,373,23,0,0,373,15066,3.1818,3.8338,4.096,6068,6409,78737,94.8172
2023-11-14,02:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,70.93,99.2941,11.4726,331.5415,99.8991,99.9191,99.9017,0.1331,0.036,100,4596.484,-105.5589,23.6893,19.5508,39.2328,100,100,0,1676,40,0,0,1676,2455,3.1839,3.7982,4.1175,5009,6694,0,100
2023-11-14,02:00,"Cluster=Najran CL2,Rule Name=Opt Clusters",1,3.69,12.5855,1.8536,31.7445,100,99.9311,99.9324,0,0.0342,100,4574.6253,-106.0034,23.7207,18.4491,38.6728,100,100,0,123,5,0,0,123,590,3.1863,3.8059,4.1313,4168,5203,0,100
2023-11-14,02:00,Aseer Province,1,210.79,430.9774,52.8408,1430.4115,99.9085,99.9,99.4406,0.5917,0.1814,100,4801.2017,-103.7781,24.3408,18.9525,38.3364,99.2,100,0,3379,138,0,0,3379,37104,3.1575,3.8047,4.0733,5074,6695,167910,96.9217
2023-11-14,02:00,Jazan Province,1,373.53,357.46,50.5401,1200.3037,100,99.9182,99.8029,0.1635,0.1836,91.2109,4147.3712,-105.2467,23.0736,19.1671,39.6857,99.4854,91.2109,45,7669,233,0,0,7669,22731,3.1502,3.8126,4.0767,5344,6414,10410,99.3157
2023-11-14,02:00,Najran Province,1,74.63,111.8795,13.3262,363.2861,99.9066,99.9204,99.9053,0.1241,0.0358,100,4594.0253,-105.6052,23.6919,19.4294,39.1778,100,100,0,1799,45,0,0,1799,3045,3.184,3.7985,4.1189,4968,6600,0,100
2023-11-14,03:00,Southern Region,1,481.69,765.1442,95.9882,2562.4213,100,99.9255,99.8277,0.203,0.1087,92.7318,4670.9476,-104.5123,23.9558,19.3552,38.5777,99.2272,92.7318,29,9010,303,0,0,9010,54613,3.1564,3.8152,4.0823,5325,6460,58397,99.0154
2023-11-14,03:00,USF8,1,36.03,158.908,19.8481,711.6153,100,99.7236,99.0317,0.6787,0.1013,100,4784.6499,-106.8546,25.1188,19.4238,36.7478,100,100,0,330,11,0,0,330,2916,3.1876,3.7733,4.117,5126,6985,36000,98.993
2023-11-14,03:00,Southern Remote,1,201.25,515.608,61.9558,1614.3134,100,99.9005,99.7802,0.2929,0.1581,92.6768,4777.666,-105.417,24.1321,19.3361,38.7866,99.1247,92.6768,29,3209,187,0,0,3209,41666,3.1666,3.825,4.0625,5225,6490,36797,99.1141
2023-11-14,03:00,Southern City,1,279.24,247.3495,33.8362,938.5484,100,99.977,99.8827,0.1373,0.06,100,4469.1956,-103.2619,23.6548,19.3943,38.3544,99.4709,100,0,5778,115,0,0,5778,12247,3.1483,3.8087,4.0997,5382,6437,21600,98.8713
2023-11-14,03:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,35.14,38.0967,4.6062,206.6787,100,99.9905,99.8972,0.3745,0.091,71.4286,4149.7109,-103.6147,23.8958,19.0141,36.9608,100,71.4286,2,572,10,0,0,572,5086,3.2006,3.8093,4.0936,5169,6187,32400,96.7811
2023-11-14,03:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,60.77,59.8454,9.0099,282.0081,100,99.9461,99.8786,0.4396,0.0822,100,4618.291,-99.7309,24.2723,18.2902,37.3147,98.0769,100,0,1051,38,0,0,1051,6104,3.1408,3.776,4.0721,7471,6629,1370,99.3015
2023-11-14,03:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,30.75,180.9272,19.6665,412.0981,100,99.817,99.5623,0.5714,0.1113,100,5637.2359,-106.0226,25.1654,19.7216,38.9405,100,100,0,524,17,0,0,524,7669,3.1715,3.8098,4.0567,5289,6630,21600,98.3271
2023-11-14,03:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,125.22,156.915,24.4532,505.5683,100,99.8851,99.721,0.1837,0.1979,90.9548,4320.3674,-105.2022,23.1016,19.2823,39.2339,99.5614,90.9548,18,2081,81,0,0,2081,11601,3.1619,3.827,4.0815,5438,6474,3027,99.1668
2023-11-14,03:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,162.84,163.0002,18.9901,539.6533,100,99.9268,99.8341,0.1154,0.1512,95.8678,4237.0561,-105.621,23.2305,19.416,39.5564,99.5283,95.8678,5,3394,105,0,0,3394,8026,3.1373,3.8204,4.0778,5064,6345,0,100
2023-11-14,03:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,21.6,80.1107,9.2136,308.6815,100,99.9669,99.9469,0.3236,0.0961,87.5,4956.729,-106.1093,24.6831,19.323,38.3819,96.6667,87.5,1,261,23,0,0,261,12754,3.1652,3.8456,4.0706,4770,7107,0,100
2023-11-14,03:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,42.54,76.2627,8.8622,271.921,100,99.9776,99.8996,0,0.0347,88,4683.7297,-105.6626,23.8954,20.014,38.8016,98.0769,88,3,1046,25,0,0,1046,2030,3.1857,3.7979,4.1184,4586,6490,0,100
2023-11-14,03:00,"Cluster=Najran CL2,Rule Name=Opt Clusters",1,1.63,7.7995,0.9904,26.2529,100,100,99.9324,0,0.0278,100,4363.2745,-106.2073,24.2127,17.3223,37.8606,100,100,0,58,3,0,0,58,643,3.1732,3.7676,4.0829,7818,5952,0,100
2023-11-14,03:00,Aseer Province,1,148.26,358.7553,42.4739,1208.8246,100,99.9321,99.8432,0.439,0.0946,93.4783,5100.2127,-103.8509,24.6425,19.254,38.0048,98.6667,93.4783,3,2408,88,0,0,2408,31603,3.1633,3.8021,4.0741,6107,6607,55370,98.5627
