Date,NR Cell Group,Integrity,Downlink Traffic Volume(GB)_5G-NR,Uplink Traffic Volume(GB)_5G-NR,User Downlink Average Throughput(Mbps)_5G-NR,User Uplink Average Throughput(Mbps)_5G-NR,Cell Downlink Average Throughput(Mbps)_5G-NR,Cell Uplink Average Throughput(Mbps)_5G-NR,Average Number of Users_5G-NR,Downlink PRB usage_5G-NR,Uplink PRB usage_5G-NR,CCE usage_5G-NR,Unavailable duration_5G-NR,RACH SR_Contention(%).,RACH SR_non-Contention(%).,Avg CQI (Single Codeword)-NR,Avg CQI 256QAM 5G-NR,Avg CQI 64QAM 5G-NR,SgNB Addition Success Rate_5G-NR,Inter-SgNB PSCell Change Success Rate_5G-NR,Intra-SgNB PSCell Change Success Rate_5G-NR,SgNB-Triggered Abnormal SgNB Release Rate_5G-NR,NR DCR -Include MeNB Triggered,Average PDSCH Scheduling MCS_5G-NR,Average PUSCH Schedulign MCS_5G-NR,N.UL.NI.Avg(dBm)_5G-NR,Average PDSCH RANK 256QAM_5G-NR,Average PDSCH RANK 64QAM_5G-NR,PDSCH IBLER_5G-NR,PDSCH RBler_5G-NR,PUSCH Rbler_5G-NR,Cell Availability
9/11/2023,Aseer Province,45180Aseer Province,24701.3107,1029.6911,89.0784,4.6448,96.9034,16.497,2439.1271,9.824,12.4003,6.2076,150,67.541,95.6405,10.5267,10.5683,9.9821,99.9263,99.3832,99.7801,0.0065,0.5254,11.5907,22.3374,-110.0065,2.1385,2.0221,5.3021,0.1914,0.7884,99.9783
9/11/2023,Jazan Province,45180Jazan Province,6743.4155,219.0414,80.5997,2.598,82.2939,12.8533,832.22,13.5818,17.9263,9.3176,8895,57.5756,87.9018,10.67,10.6998,10.2982,99.9432,99.5675,99.7222,0.005,0.8869,11.5662,21.4589,-107.2991,2.2335,2.0412,6.0478,0.2634,1.3888,99.7712
9/11/2023,Najran Province,45180Najran Province,1975.3301,69.8813,148.5436,6.5262,98.2868,15.1968,180.248,10.989,14.228,5.6508,0,71.3926,92.8921,10.3061,10.3287,9.887,99.9522,99.6252,99.7274,0.003,0.6228,10.3244,22.2018,-108.8819,2.217,2.1522,4.5888,0.0927,0.4617,100
9/11/2023,"Cluster=Aseer CL1,Rule Name=Opt Clusters","45180Cluster=Aseer CL1,Rule Name=Opt Clusters",4823.2654,214.4854,114.8464,6.2368,88.4903,15.6247,548.7656,6.0076,8.8028,4.0516,0,74.0603,96.1505,10.0751,10.091,9.8742,99.9382,99.4577,99.7609,0.0088,0.7561,10.4739,22.1614,-110.4453,2.199,1.8671,5.573,0.2441,0.9167,100
9/11/2023,"Cluster=Aseer CL2,Rule Name=Opt Clusters","45180Cluster=Aseer CL2,Rule Name=Opt Clusters",18819.8657,777.0027,84.2477,4.222,99.4003,16.8661,1804.2418,12.708,15.174,7.9823,150,64.7538,95.5713,10.6305,10.6811,9.9672,99.9231,99.3459,99.7888,0.0057,0.439,11.9428,22.3609,-109.6731,2.1234,2.0795,5.2968,0.183,0.768,99.9645
9/11/2023,"Cluster=Aseer CL4,Rule Name=Opt Clusters","45180Cluster=Aseer CL4,Rule Name=Opt Clusters",196.0295,8.6081,93.7594,3.8524,67.3669,13.8542,37.6679,7.1105,12.3137,4.7504,0,67.0091,90.4872,10.8385,10.8735,10.5382,99.8146,,99.7128,0.005,0.6149,8.6981,21.8278,-109.8889,2.2811,2.2218,5.6161,0.1693,0.6191,100
9/11/2023,"Cluster=Najran CL1,Rule Name=Opt Clusters","45180Cluster=Najran CL1,Rule Name=Opt Clusters",1975.3301,69.8813,148.5436,6.5262,98.2868,15.1968,180.248,10.989,14.228,5.6508,0,71.3926,92.8921,10.3061,10.3287,9.887,99.9522,99.6252,99.7274,0.003,0.6228,10.3244,22.2018,-108.8819,2.217,2.1522,4.5888,0.0927,0.4617,100
9/11/2023,"Cluster=Aseer CL3,Rule Name=Opt Clusters","45180Cluster=Aseer CL3,Rule Name=Opt Clusters",862.1501,29.5948,144.5621,24.4442,108.4916,19.0565,48.4519,17.2261,15.2548,6.763,0,88.4195,95.8534,11.0936,11.1043,10.8856,99.974,,99.8651,0.0022,0.2838,11.1104,23.6763,-112.6667,2.0588,2.1593,3.6359,0.0716,0.2305,100
9/11/2023,"Cluster=Jizan CL2,Rule Name=Opt Clusters","45180Cluster=Jizan CL2,Rule Name=Opt Clusters",813.0866,21.2317,95.7464,4.9253,87.3332,12.9575,95.9146,10.398,13.1963,5.7828,0,67.2472,80.6754,10.8608,10.8824,10.5746,99.9739,,99.8321,0.0041,0.4144,10.2138,22.43,-109.9306,2.112,1.9366,4.9955,0.209,1.0287,100
9/12/2023,Abha,45181Abha,4791.2916,193.8883,114.6008,5.5036,88.4489,15.4685,542.8476,5.9629,8.6883,4.0645,0,75.9743,95.9972,10.1007,10.1279,9.73,99.9348,99.4541,99.7773,0.008,0.832,10.5339,22.1989,-110.5768,2.2235,1.793,5.4402,0.2494,0.926,100
9/12/2023,Khamis Mushait,45181Khamis Mushait,16764.0743,636.3097,88.1898,4.3355,102.4615,16.8709,1502.3387,12.9982,14.3814,7.8512,900,68.5261,95.7812,10.4622,10.5167,9.7921,99.9167,99.3455,99.7589,0.0054,0.4749,11.9924,22.3258,-109.6089,2.1054,2.0915,5.5009,0.1984,0.7485,99.2782
9/12/2023,Jizan,45181Jizan,5621.2486,177.0344,75.7798,1.9101,83.2266,12.7585,662.5717,16.5983,20.7929,11.7614,1520,57.3771,93.0012,10.5228,10.5533,10.1828,99.9407,99.4909,99.6872,0.0055,0.9206,11.9683,21.1593,-106.4432,2.2788,2.115,6.5811,0.2727,1.5146,99.9467
9/12/2023,Najran,45181Najran,1870.6767,68.8759,147.3819,6.0275,94.1791,15.0231,183.4185,10.6847,14.1968,5.6487,0,61.6652,93.9635,10.2798,10.2908,10.0824,99.9597,99.6893,99.7916,0.0034,0.6344,10.114,22.2037,-109,2.2127,2.2309,4.615,0.0931,0.4667,100
9/12/2023,Muhayel,45181Muhayel,834.2783,26.9083,129.1882,22.0717,105.5527,18.4449,49.4342,17.0371,15.1624,7.177,0,83.103,94.3144,10.8465,10.9059,9.4829,99.985,,99.9242,0.001,0.1658,11.0974,23.4833,-112.4028,2.1427,2.2293,3.6446,0.0966,0.2571,100
