Region,Week,eNodeB Name,Sector id,DL_PRB_Utilization,DL PRB Utilization Range,Users,DL User Thrpt
South Region,WK46_2023,S6149-R4GF-HU-01-EDB,0,93.65,Utiliz > 80%,33.23,4.59
South Region,WK46_2023,S6040-RUFX-HU-01-SUB,2,93.63,Utiliz > 80%,128.55,1.48
South Region,WK46_2023,S6330-RGUL-HU-01-NJR,1,93.56,Utiliz > 80%,172.75,3.12
South Region,WK46_2023,S6144-RGUF-HU-01-SUB,0,93.52,Utiliz > 80%,42.51,4.54
South Region,WK46_2023,S6309-RGUL-HU-01-NJR,1,93.47,Utiliz > 80%,236.54,6.34
South Region,WK46_2023,S4989-RGUF-HU-HW-MJR,1,93.38,Utiliz > 80%,60.42,7.14
South Region,WK46_2023,S6055-RGUL-HU-01-SUB,0,93.31,Utiliz > 80%,177.65,8.54
South Region,WK46_2023,S4740-RALL-HU-01-TLT,1,93.13,Utiliz > 80%,142.3,7.85
South Region,WK46_2023,S6216-RUFX-HU-01-ARD,2,93.1,Utiliz > 80%,104.47,11.12
South Region,WK46_2023,S6026-RALL-HU-01-ABA,2,92.93,Utiliz > 80%,150.7,8.15
South Region,WK46_2023,S6369-R4GF-HU-01-YDM,1,92.93,Utiliz > 80%,51.87,6.34
South Region,WK46_2023,S3064-RGUF-HU-HW-KMS,2,92.72,Utiliz > 80%,131.35,12.64
South Region,WK46_2023,S3043-RGUF-HU-01-MHL,1,92.54,Utiliz > 80%,270.93,7.34
South Region,WK46_2023,S1888-RULN-HU-01-KMS,2,92.52,Utiliz > 80%,278.12,5.5
South Region,WK46_2023,S6131-RGUF-HU-01-ABA,2,92.52,Utiliz > 80%,33.71,3.67
South Region,WK46_2023,S1720-RGUF-HU-01-SAM,1,92.47,Utiliz > 80%,160.7,6.94
South Region,WK46_2023,S6137-R4GF-HU-01-RTH,0,92.46,Utiliz > 80%,27.51,6.11
South Region,WK46_2023,S6073-RGUF-HU-01-RTH,2,92.32,Utiliz > 80%,208.03,6.25
South Region,WK46_2023,S6372-R4GF-HU-HW-KBH,0,92.19,Utiliz > 80%,9.6,6.01
South Region,WK46_2023,S3309-R4GF-HU-HW-RJA,1,92.11,Utiliz > 80%,48.92,6.18
South Region,WK46_2023,S6078-RGUL-HU-01-DRB,1,92.08,Utiliz > 80%,270.62,8.66
South Region,WK46_2023,S6175-RGUF-HU-01-DMD,2,92.07,Utiliz > 80%,44.58,9.15
South Region,WK46_2023,S1544-RULX-HU-01-MHL,0,91.88,Utiliz > 80%,173.51,7.6
South Region,WK46_2023,S6039-RGUF-HU-01-SAM,1,91.88,Utiliz > 80%,131.58,7.29
South Region,WK46_2023,S6020-R4GF-HU-01-ARD,1,91.87,Utiliz > 80%,163.87,5.32
South Region,WK46_2023,S6079-RGUF-HU-HW-DRB,2,91.86,Utiliz > 80%,164.29,6.91
South Region,WK46_2023,S6133-RGUL-HU-01-RJA,0,91.81,Utiliz > 80%,144.93,9.94
South Region,WK46_2023,S4786-RGUF-HU-01-TNM,1,91.78,Utiliz > 80%,113.54,5.41
South Region,WK46_2023,S6118-RUFX-HU-VP-SAM,0,91.7,Utiliz > 80%,87.94,8.64
South Region,WK46_2023,S6083-RGUF-HU-01-AHM,2,91.7,Utiliz > 80%,175.09,4.6
South Region,WK46_2023,S6098-RGUL-HU-01-EDB,2,91.69,Utiliz > 80%,158.33,5.33
South Region,WK46_2023,S6148-RGUF-HU-01-DYR,2,91.5,Utiliz > 80%,152.13,7.27
South Region,WK46_2023,S1535-RULX-HU-01-KMS,1,91.48,Utiliz > 80%,260.32,4.39
South Region,WK46_2023,S6038-RLNX-HU-01-SAM,1,91.44,Utiliz > 80%,401.46,4.92
South Region,WK46_2023,S6158-RGUF-HU-01-ABA,2,91.43,Utiliz > 80%,145.07,10.47
South Region,WK46_2023,S3073-R4GF-HU-HW-BHH,2,91.41,Utiliz > 80%,27.17,6.34
South Region,WK46_2023,S6094-RGUF-HU-01-SUB,1,91.4,Utiliz > 80%,92.74,5.32
South Region,WK46_2023,S6082-RGUF-HU-VP-SUB,1,91.31,Utiliz > 80%,116.08,7.77
South Region,WK46_2023,S3288-RGFX-HU-HW-AHB,1,91.28,Utiliz > 80%,113.6,7.14
South Region,WK46_2023,S6057-RGUF-HU-01-SUB,1,91.26,Utiliz > 80%,171.62,3.96
South Region,WK46_2023,S1925-RALL-HU-01-AHB,1,91.22,Utiliz > 80%,312.61,8.3
South Region,WK46_2023,S6389-R4GF-HU-HW-SHW,0,91.21,Utiliz > 80%,132.87,7.26
South Region,WK46_2023,S1799-RALL-HU-01-ABA,1,91.15,Utiliz > 80%,178.9,12.68
South Region,WK46_2023,S6308-RALL-HU-01-NJR,1,91.08,Utiliz > 80%,120.27,3.1
South Region,WK46_2023,S4838-RUFX-HU-01-BHH,0,91.06,Utiliz > 80%,144,8.85
South Region,WK46_2023,S6266-RGUL-HU-01-ABA,2,91.01,Utiliz > 80%,141.08,5.17
South Region,WK46_2023,S4717-RGUF-HU-HW-KMS,0,90.96,Utiliz > 80%,159.6,7.02
South Region,WK46_2023,S6114-RGUL-HU-01-SUB,1,90.93,Utiliz > 80%,170.95,7.05
South Region,WK46_2023,S3403-R4GF-HU-01-THR,1,90.91,Utiliz > 80%,17.92,11.63
South Region,WK46_2023,S4717-RGUF-HU-HW-KMS,2,90.89,Utiliz > 80%,253.13,8
South Region,WK46_2023,S4759-RGUF-HU-HW-DAJ,0,90.78,Utiliz > 80%,120.33,13.38
South Region,WK46_2023,S6029-RGUF-HU-01-DMD,1,90.72,Utiliz > 80%,53.74,4.36
South Region,WK46_2023,S1817-RGUL-HU-01-BHH,1,90.65,Utiliz > 80%,91.22,6.82
