Date,Time,LTE Cell Group,Integrity,DL_Traffic_Volum_GB,UL_Traffic_Volume_GB,Avg_Users,DL_Throughput_MB/sec,UL_Throughput_MB/sec,DL_User_Throughput_MB/Sec,UL_User_Throughput_MB/sec,RRC Success Rate (Service),RRC Success Rate (Signaling),ERAB_Success_Rate,Failures Thrp License,Failures User License,Service Drop-Rate,ERAB_Abnrml_TNL,CSFB Success Rate%,Flash CSFB Prec,Avg_CQI,DL_Avg_MCS,UL_Avg_MCS,QPSK Ratio(%),16QAM Ratio(%),64QAM Ratio(%),DL_Retrans_Rate,UL_Retrans_Rate,DL IBLER(%),UL IBLER(%),UL_MAC_BLER,DL_MAC_BLER,RACH_Success_Rate,Avg_Interference(dBm),System_Outage(s),DL_PRB_Utilization,Handover Execution Success Rate (all)(%),Handover Preparation Success Rate (all)(%),Incoming HO Exec Success Rate(%),Incoming HO Prep Success Rate(%),CA DL Traffic Volume(GB),3CC CA Traffic Volume GB,CA DL Traffic %,3CC CA DL Traffic %,L.Traffic.User.PCell.DL.Avg,CA DL User Throughput (Mbps),3CC.CA DL User Throughput,CA Drop Rate%,CA Add SR%,CA Activation SR%,UL_PRB_Utilization,4G_H_DL Cell Throughput (Mbps)_NPM,4G_H_UL Cell Throughput (Mbps)_NPM,Cell.Availability(%),Availability Duration(s)
2023-11-14,01:00,Aseer Province,1,23676.0816,1750.1485,71367.3072,31.9413,4.5308,18.4113,3.7637,99.9752,99.7843,99.7466,0,0,0.0866,1,99.8998,96.7429,9.9075,15.9481,24.6368,25.293,37.2079,37.4992,12.5722,17.9887,10.5964,12.8658,0.2373,0.0944,74.0167,-116.2836,47800,23.3379,99.7432,99.7927,99.3543,99.9997,12053.7072,4308.0692,47.4145,18.1959,29363.321,37.4707,36.3979,0.0302,99.3598,99.6581,16.8307,31.9413,4.5308,99.8375,28356200
2023-11-14,01:00,Najran Province,1,8561.3883,645.5532,24345.689,33.3998,5.0108,14.6968,4.0116,99.9489,99.7612,99.8074,0,0,0.0849,2,99.9329,90.8023,10.1668,16.4705,25.0551,23.8465,35.566,40.5875,13.712,16.2166,11.8337,12.1174,0.1811,0.0762,66.6181,-116.9372,97200,29.4157,99.62,100,99.2195,100,4374.4997,1395.2481,47.5866,16.297,9359.1738,31.4853,31.4601,0.0277,99.749,99.7116,18.3223,33.3998,5.0108,98.8111,7916400
2023-11-14,02:00,Southern Region,1,45986.0765,3433.6813,138913.9397,33.5556,4.7339,19.1777,3.8992,99.9636,99.638,99.747,0,0,0.0726,23,99.8891,92.4517,10.1955,16.3742,24.4,23.4102,35.8145,40.7753,12.2587,17.1826,10.5373,12.395,0.22,0.0804,69.7881,-116.6454,291885,22.342,99.5313,99.5196,98.9766,99.9664,22978.6181,8422.8002,46.5369,18.316,53213.7429,39.4448,38.3466,0.031,99.3462,99.699,16.6716,33.5556,4.7339,99.4774,53627010
2023-11-14,02:00,Southern Remote,1,20711.5272,1525.5462,60242.249,35.6327,4.5287,17.8901,3.6434,99.9456,99.4686,99.7209,0,0,0.0605,21,99.8573,82.4505,10.341,16.6665,24.418,22.9163,35.288,41.7957,11.9907,18.8042,10.5203,13.5919,0.2302,0.0629,59.6864,-117.2602,83080,23.8975,99.0364,98.7668,98.0907,99.8997,10462.8072,4255.5796,47.0475,20.5469,21322.3896,37.5907,37.8221,0.0212,99.4856,99.8163,14.8985,35.6327,4.5287,99.5968,20331620
2023-11-14,02:00,Southern City,1,22433.0497,1706.7202,72327.5992,31.419,4.8209,20.0185,4.1033,99.9791,99.8419,99.7713,0,0,0.0775,2,99.9505,99.6166,9.9775,16.0649,24.5096,24.1996,36.8422,38.9581,12.6944,16.3706,10.7437,11.773,0.2166,0.0956,81.8556,-116.2234,173695,21.7853,99.7974,99.8635,99.4442,99.9971,11127.5038,3763.0095,46.1965,16.7744,29569.9532,41.4563,38.8668,0.0364,99.2459,99.6266,17.3469,31.419,4.8209,99.4443,29539700
2023-11-14,02:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,4031.1797,319.4699,14343.1603,30.3684,4.5997,24.2649,4.1587,99.9718,99.5632,99.7779,0,0,0.0768,2,100,96.5861,9.9254,15.5075,25.0759,26.4542,37.726,35.8198,11.312,17.5916,9.0934,12.6116,0.2398,0.1287,78.8768,-116.5285,16310,13.6061,99.8797,99.6214,99.5366,99.9627,2260.9889,809.4468,52.2356,20.0797,6524.7732,45.0814,39.0864,0.0233,97.7022,99.5248,14.0446,30.3684,4.5997,99.8259,8897290
2023-11-14,02:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,7603.9976,588.9025,27501.1034,30.46,4.5252,21.04,3.8702,99.9829,99.8309,99.7978,0,0,0.0772,1,99.8199,98.8595,9.6444,15.7094,24.7547,25.7623,37.9099,36.3277,12.4173,17.2924,10.3389,12.1512,0.265,0.1087,85.0041,-115.4428,54235,22.6678,99.7401,99.2157,99.2644,99.9886,4121.2066,1543.1162,50.4757,20.2935,12267.2798,40.5747,37.4624,0.0538,99.7491,99.6271,18.009,30.46,4.5252,99.4703,9814970
2023-11-14,02:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,4570.078,309.3439,11460.4923,36.3072,4.6363,19.9581,3.7679,99.9693,99.7706,99.7461,0,0,0.0764,0,99.8551,97.8261,10.7314,16.9639,24.8097,20.0127,35.5003,44.487,11.8791,17.3468,10.452,12.7731,0.1725,0.0571,55.2456,-117.6415,4075,23.2154,99.5127,99.9247,98.9187,100,2208.0822,710.1317,44.9978,15.5387,3868.5235,38.9614,39.9625,0.0239,99.5385,99.8228,15.6198,36.3072,4.6363,99.9134,4625525
2023-11-14,02:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,6977.3126,523.1935,21710.4751,33.425,4.4899,17.8608,3.6573,99.962,99.582,99.6851,0,0,0.0577,2,99.9369,87.1528,9.9743,16.2668,22.5174,24.7504,35.9377,39.3119,12.1849,19.4862,10.7185,13.5257,0.3032,0.0655,67.5513,-116.1264,27840,25.957,99.4958,99.8228,98.7801,99.9994,3313.6372,1445.0942,44.23,20.7113,7692.5923,39.5044,39.1059,0.0193,99.0474,99.7824,17.1215,33.425,4.4899,99.6181,6949050
2023-11-14,02:00,"Cluster=USF8 CL1,Rule Name=Opt Clusters",1,2.7346,0.3105,39.6922,23.9683,3.4355,53.9928,3.2846,100,100,100,0,0,0.0368,0,,,13.1802,14.9879,22.6709,31.0497,30.6847,38.2656,11.6996,9.7334,8.8869,6.3476,0.1316,0.4566,77.9025,-119.1818,0,4.7995,100,100,100,100,1.2267,0.9946,41.7793,36.3723,5.7658,79.3882,52.9819,0.1012,100,99.8415,11.2265,23.9683,3.4355,100,39600
2023-11-14,02:00,"Cluster=USF8 CL2,Rule Name=Opt Clusters",1,6.993,0.5941,97.2895,22.1189,3.5105,19.3162,3.2751,99.9668,100,99.1764,0,0,0,0,100,100,10.887,15.3713,26.1853,27.0541,43.115,29.8309,11.8919,14.5136,10.4796,12.3355,0.1169,0.0219,95.5739,-117.5,0,16.3395,100,100,100,100,0,0,0,0,0,,,,,,6.8441,22.1189,3.5105,100,14400
2023-11-14,02:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,3561.0478,255.1701,10516.3571,34.5667,4.4266,23.5419,3.7557,99.9441,99.769,99.677,0,0,0.0339,18,99.7802,86.3736,10.5112,16.6011,24.3409,21.2858,37.0575,41.6566,11.3792,17.3534,9.7921,12.6927,0.1779,0.0651,66.9593,-117.961,57115,16.4934,99.322,95.8718,98.5418,99.5092,1522.2568,524.5097,39.8117,14.7291,3411.8798,54.812,48.2292,0.0093,99.7932,99.8139,12.2719,34.5667,4.4266,98.899,5015285
